ABCD	🔡
さばく	🏜
さぼてん	🏜
さぼてんのあるさばく	🏜
さむいかお	🥶
さむい	🥶
さむさ	🥶
さむずあっぷ	👍
さむずだうん	👎
さめ	🦈
さもあ	🇼🇸
さゆう	↔
さゆうやじるし	↔
さら	🍽
さらだ	🥗
さらりーまん	👩‍💼
さりー	🥻
さる	🦧
さるのかお	🐵
さるまーく	🈸
さんえん	🙊
さんかく	🔻
さんかくじょうぎ	📐
さんかくのはた	🚩
さんがく	⛰
さんぐらす	🕶
さんぐらすでえがお	😎
さんた	🎅
さんたくろーす	🤶
さんだる	👡
さんどいっち	🥪
さんぱつされるおとこ	💇‍♂
さんぱつされるおんな	💇‍♀
さんぱつされるひと	💇
さんまりの	🇸🇲
さんりんたくしー	🛺
さーかす	🎪
さーびす	🐕‍🦺
さーびすりょう	🈂
さーふぁー	🏄‍♂
さーふぃん	🏄
さーふぃんするおとこ	🏄‍♂
さーふぃんするおんな	🏄‍♀
さーふぃんするひと	🏄
ざせき	💺
ざりがに	🦞
ざんびあ	🇿🇲
しぇふ	👩‍🍳
しえられおね	🇸🇱
しお	🧂
しおふき	🐳
しおふきくじら	🐳
しおり	🔖
しおれた	🥀
しおれたはな	🥀
しか	🦌
しかく	🦯
しかくぼたん	🔳
しかめがお	🙍‍♂
しかめっつら	🙍‍♂
しかめめん	🙍
しかめめんのおとこ	🙍‍♂
しかめめんのおんな	🙍‍♀
しかめめんのひと	🙍
しきじょう	💒
しけんかん	🧪
しごせん	🌐
しごせんのあるちきゅう	🌐
ししざ	♌
しじょう	💹
しずかに	🤫
しずく	💧
しせき	🏛
しぜん	🏞
した	🤑
したぎ	🩳
したむき	📉
したをだしたかお	😛
したをだした	😛
しちめんちょう	🦃
しちゅー	🍲
しっ	🤫
しっくい	🧱
しつぼうしたかお	😞
しつぼうした	😞
しつれん	💔
していせき	🈯
しなごーぐ	🕍
しま	🏝
しまうま	🦓
しましま	🦓
しもかーぶやじるし	⤵
しもぼたん	🔽
しもやけ	🥶
しもやじるし	⬇
しもゆびさし	👇
しゃがいひ	㊙
しゃしゅ	🏹
しゃしん	📸
しゃっふる	🔀
しゃっふるぼたん	🔀
しゃつ	👚
しゃとる	🏸
しゃべる	🦜
しゃりょうしんにゅうきんし	⛔
しゃりょうつうこうどめ	🚫
しゃわー	🚿
しゃんぱん	🥂
しゃんぷー	🧴
しゃんぺん	🥂
しゅうかく	🧺
しゅうきょう	🛕
しゅえい	💂‍♂
しゅく	㊗
しゅくじつ	🎌
しゅくじつのはた	🎌
しゅくまーく	㊗
しゅつにゅうこく	🛂
しゅつにゅうこくしんさ	🛂
しゅどうしきくるまいす	🦽
しゅどうしきくるまいすのじょせい	👩‍🦽
しゅどうしきくるまいすのだんせい	👨‍🦽
しゅのーけりんぐ	🤿
しゅりんぷ	🦐
しゅーず	🩰
しょうおん	🔕
しょうか	🧯
しょうかき	🧯
しょうかきぐ	🧯
しょうがい	🧏‍♂
しょうがくせい	🎒
しょうがっこう	🎒
しょうがつ	🎍
しょうきん	💰
しょうげき	💥
しょうご	🕛
しょうじょ	👧
しょうとつ	💥
しょうねん	👦
しょうはい	🏆
しょうひょう	™
しょうひょうまーく	™
しょうぼう	🧯
しょうぼうし	👩‍🚒
しょうぼうしゃ	🚒
しょうようせい	🧝
しょくだい	🕎
しょくぱん	🍞
しょくぶつ	🏵
しょしんしゃ	🔰
しょしんしゃまーく	🔰
しょせき	📚
しょっき	🥄
しょっく	🤯
しょっぴんぐ	🛒
しょっぴんぐかーと	🛒
しょっぴんぐばっぐ	🛍
しょぼーん	😔
しょるい	📜
しょんぼり	😔
しょーつ	🩳
しょーとけーき	🍰
しらけ	😒
しらけた	😒
しらける	😒
しらとり	🦢
しりあ	🇸🇾
しりある	🥣
しるえっと	🗣
しるくはっと	🎩
しるばー	🥈
しろ	🏳
しろいかんたんふ	❕
しろいぎもんふ	❔
しろいはーと	🤍
しろいまる	⚪
しろしかくなか	◽
しろぬきのちぇっく	✅
しろぬきのばつ	❎
しろよんかくしょう	▫
しろよんかくだい	◻
しろよんかくとくだい	⬜
しろわくよんかく	🔳
しんか	🧬
しんかんせん	🚅
しんがぽーる	🇸🇬
しんがー	👩‍🎤
しんげつ	🌚
しんごう	🚦
しんごうき	🚦
しんごうたて	🚦
しんごうよこ	🚥
しんしくつ	👞
しんせい	🈸
しんぞう	🩺
しんとう	⛩
しんぱい	😟
しんぶん	🗞
しんぶんし	🗞
しんぼる	♂
しんめ	🌱
しー	🤫
しーえる	🆑
しーえるまーく	🆑
しーっ	🤫
しーでぃー	📀
しーと	🪑
しーふーど	🦪
しーるど	🛡
じぇすちゃー	🤷‍♂
じぇっとこーすたー	🎢
じぐそーぱずる	🧩
じしゃく	🧭
じじ	🃏
じっけん	🧪
じてんしゃ	🚵‍♂
じてんしゃきんし	🚳
じてんしゃにのるおとこ	🚴‍♂
じてんしゃにのるおんな	🚴‍♀
じてんしゃにのるひと	🚴
じとめ	😒
じどうおうだん	🚸
じどうしゃ	🚙
じどうしゃしょうめん	🚘
じどり	🤳
じぶち	🇩🇯
じぶらるたる	🇬🇮
じぶんどり	🤳
じゃがいも	🥔
じゃぐらー	🤹‍♂
じゃぐりんぐ	🤹‍♂
じゃぐりんぐをするおとこ	🤹‍♂
じゃぐりんぐをするおんな	🤹‍♀
じゃぐりんぐをするひと	🤹
じゃけっと	🧥
じゃし	🧿
じゃまいか	🇯🇲
じゃんぷ	🦘
じゃーじー	🇯🇪
じゅう	🔫
じゅうごや	🎑
じゅうさんないと	🌔
じゅうじか	✝
じゅうたくがい	🏘
じゅうどう	🥋
じゅうりょうあげ	🏋
じゅうりょうあげをするおとこ	🏋‍♂
じゅうりょうあげをするおんな	🏋‍♀
じゅうりょうあげをするひと	🏋
じゅえりー	💎
じゅしん	📲
じゅしんき	📻
じゅしんちゅう	📨
じゅしんとれい	📥
じゅず	📿
じゅにゅう	🤱
じゅわき	📞
じゅーす	🧃
じゆうのめがみ	🗽
じょいすてぃっく	🕹
じょう	🔓
じょうか	↕
じょうききかんしゃ	🚂
じょうぎ	📐
じょうげやじるし	↕
じょうげん	🌓
じょうげんのつき	🌛
じょうざん	❎
じょうしょう	📈
じょうだん	😜
じょうはんしん	👥
じょうば	🐎
じょうほう	ℹ
じょうりゅうき	⚗
じょうりょくじゅ	🌲
じょぎんぐ	🏃‍♂
じょざん	➗
じょしがくせい	👩‍🎓
じょしといれ	🚺
じょせい	🧟‍♀
じょせいうちゅうひこうし	👩‍🚀
じょせいかいしゃいん	👩‍💼
じょせいかがくしゃ	👩‍🔬
じょせいかしゅ	👩‍🎤
じょせいぎじゅつしゃ	👩‍💻
じょせいけいさつかん	👮‍♀
じょせいしょうぼうし	👩‍🚒
じょせいのあくやく	🦹‍♀
じょせいのいしゃ	👩‍⚕
じょせいのえいへい	💂‍♀
じょせいのきょうし	👩‍🏫
じょせいのけんせつさぎょういん	👷‍♀
じょせいのげいじゅつか	👩‍🎨
じょせいのこっく	👩‍🍳
じょせいのさいばんかん	👩‍⚖
じょせいのさんた	🤶
じょせいのすーぱーひーろー	🦸‍♀
じょせいのせいびし	👩‍🔧
じょせいのたんてい	🕵‍♀
じょせいのまーく	♀
じょせいのようせつこう	👩‍🏭
じょせいぱいろっと	👩‍✈
じょっき	🍻
じょっきー	🏇
じょーい	🦘
じょーかー	🃏
じょーく	🤪
じょーじあ	🇬🇪
じんこうえいせい	🛰
じんこうそうぐ	🦿
じんじゃ	⛩
じんばぶえ	🇿🇼
じーんず	👖
すいえい	🥽
すいか	🍉
すいきゅう	🤽‍♂
すいきゅうをするおとこ	🤽‍♂
すいきゅうをするおんな	🤽‍♀
すいきゅうをするひと	🤽
すいぎゅう	🐃
すいしょう	🔮
すいしょうだま	🔮
すいす	🇨🇭
すいせい	☄
すいてき	💧
すいどう	🚰
すいまー	🏊‍♂
すいみん	🛏
すいみんぐ	🏊‍♂
すいむ	🏊‍♂
すいむうぇあ	🩳
すいーつ	🧁
すうぇーでん	🇸🇪
すうじ	🔢
すうじのにゅうりょく	🔢
すう゛ぁーるばるしょとうおよびやんまいえんとう	🇸🇯
すかいだいびんぐ	🪂
すかる	💀
すかんく	🦨
すかーふ	🧣
すかーふのじょせい	🧕
すきゅーば	🤿
すきー	🎿
すきーやー	⛷
すくーたー	🛵
すぐ	🔜
すけじゅーる	🗓
すけぼー	🛹
すけるとん	🛷
すけーと	⛸
すけーとぼーど	🛹
すこあ	🎼
すこしこまった	🙁
すこしこまったかお	🙁
すこしだけ	🤏
すし	🍣
すすき	🎑
すず	🔕
すたじあむ	🏟
すたじおまいく	🎙
すたー	🌠
すてぃっく	🥍
すてごま	♟
すてーき	🥩
すてーきにく	🥩
すとっく	🎿
すとっぷ	🛑
すとっぷうぉっち	⏱
すとろべりー	🍓
すとろーかっぷ	🥤
すとーん	🥌
すな	⏳
すながおちているすなどけい	⏳
すなどけい	⏳
すなはま	🏖
すにーかー	👟
すのぼ	🏂
すのーぼーだー	🏂
すのーぼーど	🏂
すぱい	🕵
すぱいだー	🕷
すぱげってぃ	🍝
すぱげってぃー	🍝
すぱな	🔧
すぱーくりんぐわいん	🥂
すぱーくる	❇
すぴーかー	🔊
すぴーかーおとかずお	🔊
すぴーかーおんりょうしょう	🔉
すぴーかーしょうおん	🔇
すぴーどぼーと	🚤
すぷまんて	🥂
すぷーん	🥄
すぺいん	🇪🇸
すぺーど	♠
すぽっく	🖖
すぽんじ	🧽
すぽーつ	🥎
すまいりー	☺
すまいる	🤭
すまほ	🤳
すまほきんし	📵
すまーとふぉん	📶
すまーとふぉんきんし	📵
すみこおり	🧊
すらいだー	🎚
すりっぽん	🥿
すりなむ	🇸🇷
すりらんか	🇱🇰
すりーせぶん	🎰
すろっと	🎰
すろっとましん	🎰
すろばきあ	🇸🇰
すろべにあ	🇸🇮
すわじらんど	🇸🇿
すわる	🧎‍♂
すーだん	🇸🇩
すーつ	🕴
すーつけーす	🧳
すーぱー	🛒
すーぱーひーろー	🦸
ずぼん	👖
ずるかしこい	🦝
せいざ	🦂
せいざするじょせい	🧎‍♀
せいざするだんせい	🧎‍♂
せいざするひと	🧎
せいじん	🧑
せいち	🕋
せいびし	🧰
せいぶつがく	🧬
せいほうけい	🟫
せいようなし	🍐
せいようのしろ	🏰
せいようのゆうびんきょく	🏤
せいり	🩸
せいれい	🧞‍♂
せうたとめりりゃ	🇪🇦
せかい	🗺
せかいちず	🗺
せき	💺
せきどうぎにあ	🇬🇶
せきめん	😳
せきゅりてぃ	🔐
せきゆ	🛢
せじょう	🔒
せっけん	🧼
せねがる	🇸🇳
せりふ	🗨
せるびあ	🇷🇸
せるふぃー	🤳
せんきょ	🗳
せんこうはなび	🎇
せんさくすき	🦝
せんせい	👩‍🏫
せんたく	🧺
せんとへれな	🇸🇭
せんとるしあ	🇱🇨
せんべい	🍘
せんろ	🛤
せーしぇる	🇸🇨
ぜいかん	🛃
ぜつぼうするねこ	🙀
ぜむくりっぷ	📎
ぜん	🦸‍♂
ぜんきょく	🔁
ぜんといせいかい	💯
そあたま	🦲
そうぎ	⚱
そうしょくきょうりゅう	🦕
そうしん	📩
そうしんとれい	📤
そうじ	🧽
そうじゅうし	👩‍✈
そっくす	🧦
そつぎょう	👩‍🎓
そふぁ	🛋
そふぁとらんぷ	🛋
そふと	🍦
そふとくりーむ	🍦
そふとたこす	🌯
そふとぼーる	🥎
そまりあ	🇸🇴
そら	🈳
そらとぶえんばん	🛸
そらまーく	🈳
そり	🛷
そりきょうぎ	🛷
そろばん	🧮
そろもんしょとう	🇸🇧
そーせーじ	🌭
そーぷ	🧼
ぞう	🗿
ぞんび	🧟‍♂
たい	🇹🇭
たいおんけい	🤒
たいくつ	🥱
たいこ	🥁
たいそう	🤸‍♂
たいふう	🌀
たいへんよくできました	💮
たいまー	⏲
たいよう	🌦
たいわん	🇹🇼
たうんみーてぃんぐまーく	™
たきしーど	🤵
たくしー	🛺
たくしーしょうめん	🚖
たくはいびん	📦
たぐ	🔖
たけ	🎍
たこ	🪁
たこあげ	🪁
たこす	🌮
たしざん	➕
たじきすたん	🇹🇯
たす	➕
たすき	🎽
たすけて	🆘
ただ	🈚
たっきゅう	🏓
たっきゅうびん	📦
たっている	🧍
たつおとこ	🧍‍♂
たつおんな	🧍‍♀
たつひと	🧍
たつまき	🌪
たて	🛡
たてたなかゆび	🖕
たてもの	🛕
たなばた	🎋
たばこ	🚭
たま	🔮
たまきのあるわくせい	🪐
たまご	🥚
たまごからかえったひよこ	🐣
たまねぎ	🧅
たらーっ	💧
たると	🥧
たわー	🗼
たんざく	🎋
たんざにあ	🇹🇿
たんじょうび	🎂
たんてい	🕵‍♂
たんとう	🗡
たんぶらー	🥃
たんぶらーぐらす	🥃
たーきー	🦃
たーばん	👳‍♂
たーばんのじょせい	👳‍♀
たーばんのだんせい	👳‍♂
たーばんのひと	👳
だいあ	🔹
だいおんりょう	🔊
だいす	🎲
だいちょう	📒
だいどうげい	🤹‍♂
だいなき	😭
だいなまいと	🧨
だいや	🔹
だがー	🗡
だっしゅ	💨
だびで	🔯
だびでのほし	✡
だぶるしー	🚾
だぶるるーぷ	➿
だめ	🙅
だめのぽーずをするおとこ	🙅‍♂
だめのぽーずをするおんな	🙅‍♀
だめのぽーずをするひと	🙅
だんご	🍡
だんさー	🕺
だんしがくせい	👨‍🎓
だんしといれ	🚹
だんじょ	👫
だんす	🩰
だんせい	🧟‍♂
だんせいうちゅうひこうし	👨‍🚀
だんせいかいしゃいん	👨‍💼
だんせいかがくしゃ	👨‍🔬
だんせいかしゅ	👨‍🎤
だんせいぎじゅつしゃ	👨‍💻
だんせいけいさつかん	👮‍♂
だんせいしょうぼうし	👨‍🚒
だんせいのあくやく	🦹‍♂
だんせいのいしゃ	👨‍⚕
だんせいのえいへい	💂‍♂
だんせいのきょうし	👨‍🏫
だんせいのけんせつさぎょういん	👷‍♂
だんせいのげいじゅつか	👨‍🎨
だんせいのこっく	👨‍🍳
だんせいのさいばんかん	👨‍⚖
だんせいのすーぱーひーろー	🦸‍♂
だんせいのせいびし	👨‍🔧
だんせいのたんてい	🕵‍♂
だんせいのまーく	♂
だんせいのようせつこう	👨‍🏭
だんせいぱいろっと	👨‍✈
だんぼーる	📦
だんまり	😶
だーつ	🎯
ちいさいあおのひしがた	🔹
ちいさいおれんじのひしがた	🔸
ちぇあ	🪑
ちぇこ	🇨🇿
ちぇす	♟
ちぇすのこま	♟
ちぇっかーふらっぐ	🏁
ちぇっく	✔
ちぇっくぼっくす	☑
ちぇっくまーく	✔
ちぇりー	🍒
ちぇーん	⛓
ちかてつ	🚇
ちからこぶ	💪
ちきゅう	🌐
ちきん	🍗
ちけっと	🎫
ちしき	🧠
ちず	🗾
ちゃいろ	🟫
ちゃいろいしかく	🟫
ちゃいろいはーと	🤎
ちゃいろのまる	🟤
ちゃくしんちゅう	📲
ちゃくりく	🛬
ちゃっく	🤐
ちゃど	🇹🇩
ちゃーと	📊
ちゅうい	⚠
ちゅうおうあふりかきょうわこく	🇨🇫
ちゅうか	🥡
ちゅうかかし	🥮
ちゅうかぼうのだんせい	👲
ちゅうごく	🇨🇳
ちゅうしゃ	💉
ちゅうしゃき	💉
ちゅうしゃじょう	🅿
ちゅうしゅうせつ	🥮
ちゅうどく	🥴
ちゅっ	😽
ちゅにじあ	🇹🇳
ちゅーりっぷ	🌷
ちょう	🦋
ちょうおん	➰
ちょうかく	🧏‍♂
ちょうきょりそう	🎽
ちょうしょく	🥣
ちょうしんき	🩺
ちょうじん	🦹‍♂
ちょうぞう	🗽
ちょうちん	🏮
ちょうみりょう	🧂
ちょき	✌
ちょこ	🍫
ちょこれーと	🍫
ちょさくけん	©
ちょさくけんまーく	©
ちょっき	🦺
ちょっと	🤏
ちり	🇨🇱
ちりょう	⚕
ちんげんさい	🥬
ちんもく	😶
ちーず	🧀
つうか	💷
つうかん	🛃
つうがくろ	🚸
つうこうどめ	🚧
つえ	🦯
つえをついたじょせい	👩‍🦯
つえをついただんせい	👨‍🦯
つかれ	🥱
つかれた	😫
つき	🎑
つきぎめ	🈷
つきまーく	🈷
つきみ	🎑
つきめくりかれんだー	🗓
つぎのきょくぼたん	⏭
つぎのしーん	⏭
つぎのとらっく	⏭
つけもの	🥒
つながったくりっぷ	🖇
つなぐ	🧑‍🤝‍🧑
つばる	🇹🇻
つぼ	🏺
つまみ	🎛
つまんでいるゆび	🤏
つめ	💅
つめたい	🧊
つらい	🌶
つらら	🥶
つり	🎣
つりざお	🎣
つりー	🎄
つるぎ	⚔
つるはし	⛏
つーるぼっくす	🧰
てあて	🩹
てぃらのさうるす	🦖
てぃーおーぴー	🔝
てぃーおーぴーやじるし	🔝
てぃーしゃつ	👕
てぃーぶい	📺
ていきど	🔅
ていくあうとべんとう	🥡
ていし	⏹
ていしぼたん	⏹
ていてつ	🧲
てがかり	🗝
てがき	✍
てがみ	📮
てがみあり	📬
てがみなし	📭
てき	🎯
てこんどー	🥋
てつどう	🛤
てでぃべあ	🧸
てでかく	✍
てにす	🎾
てにすぼーる	🎾
てにもつ	🛅
てにもつあずかり	🛅
てにもつうけとり	🛄
てのこう	🤚
てのこうかみさしさし	👆
てのひら	👐
てのひらをそろえたりょうて	🤲
てぶくろ	🧤
てら	🛕
てれび	📺
てれびげーむ	🕹
てをあげる	🙌
てをあげるおとこ	🙋‍♂
てをあげるおんな	🙋‍♀
てをあげるひと	🙋
てをつなぐ	🧑‍🤝‍🧑
てをつなぐじょせい	👭
てをつなぐだんじょ	👫
てをつなぐだんせい	👬
てをふる	👋
てんき	🌫
てんきあめ	🌦
てんぐ	👺
てんし	👼
てんしのわ	😇
てんしのわがついたえがお	😇
てんしん	🥟
てんたい	🪐
てんたいかんそく	🔭
てんと	🏕
てんとうむし	🐞
てんびん	⚖
てんびんざ	♎
てんぷら	🍤
てんぽうりん	☸
でぃえごがるしあとう	🇩🇬
でぃすかうんと	🈹
でぃすく	📀
でぃぷろどくす	🦕
でぃやらんぷ	🪔
でぃーえぬえー	🧬
でぃーぶいでぃー	📀
でざーと	🍰
ですくとっぷ	🖥
ですくとっぷぱそこん	🖥
でにむ	👖
でぱーと	🏬
でびる	😈
でべろっぱ	👩‍💻
でんき	⚡
でんきゅう	💡
でんげん	🔌
でんげんおふ	📴
でんしめーる	📩
でんしゃ	🚟
でんしゃしょうめん	🚆
でんせつ	🧚
でんち	🔋
でんでんむし	🐌
でんどうくるまいす	🦼
でんどうくるまいすのじょせい	👩‍🦼
でんどうくるまいすのだんせい	👨‍🦼
でんぱ	📶
でんまーく	🇩🇰
でんわ	🤙
でんわのあいず	🤙
でんわのじぇすちゃー	🤙
といれ	🚾
といれっとぺーぱー	🧻
とぅくとぅく	🛺
とうがらし	🌶
とうきょう	🗼
とうきょうたわー	🗼
とうしゅーず	🩰
とうひょうばこ	🗳
とうもろこし	🌽
とうろくしょうひょう	®
とうろくしょうひょうまーく	®
とおかんやのつき	🌔
とおんきごう	🎼
とかい	🏙
とかげ	🦎
ときめき	💗
とく	🉐
とくいげ	😤
とけい	🕰
とけいまわり	🔃
とけらう	🇹🇰
とげ	🦔
とこや	💈
とざん	🧗‍♂
とざんぐつ	🥾
とざんてつどう	🚞
とざんでんしゃ	🚞
とじた	📫
とじたかさ	🌂
とじたじょう	🔒
とじたじょうとかぎ	🔐
とじたじょうとぺん	🔏
とじたほん	📕
とっくり	🍶
とっぷ	🔝
とっぷう	🌪
とびら	🚪
とまと	🍅
とまれ	🛑
とまれのひょうしき	🛑
とめぴん	🧷
ともだち	🧑‍🤝‍🧑
とら	🐯
とらいでんと	🔱
とらくたー	🚜
とらっく	🚛
とらっくぼーる	🖲
とらのかお	🐯
とらんぷ	🃏
とらんぺっと	🎺
とり	🦩
とりい	⛩
とりすたんだくーにゃ	🇹🇦
とりだし	⏏
とりだしぼたん	⏏
とりももにく	🍗
とるくめにすたん	🇹🇲
とるこ	🇹🇷
とれい	📥
とれーどまーく	™
とれーらー	🚛
とろぴかる	🥭
とろぴかるどりんく	🍹
とろふぃー	🏆
とろりーばす	🚎
とんかち	🛠
とんが	🇹🇴
とーご	🇹🇬
どあ	🚪
どいつ	🇩🇪
どう	🥉
どうが	📼
どうきょう	☯
どうぎ	🥋
どうしよう	😥
どうせい	👭
どうぶつ	🦩
どうめだる	🥉
どうろ	🛣
どきどき	💗
どきどきするはーと	💓
どく	🐍
どくろ	💀
どくろとほね	☠
どげざ	🙇‍♂
どせい	🪐
どっとつきひしがた	💠
どみにかきょうわこく	🇩🇴
どみにかこく	🇩🇲
どらきゅら	🧛‍♂
どらごん	🐲
どらごんのかお	🐲
どらむ	🥁
どらむかん	🛢
どりんく	🧉
どる	💸
どるきごう	💲
どるさつ	💵
どるぶくろ	💰
どれす	👗
どんっ	💥
どんぶり	🍜
どーなつ	🍩
ないしょ	🤭
ないじぇりあ	🇳🇬
ないているねこ	😿
ないふ	🗡
ないふとふぉーく	🍴
ないふとふぉーくとさら	🍽
なうる	🇳🇷
なかゆび	🖕
ながれぼし	🌠
なきがお	😢
なく	😭
なげきっす	😘
なさけ	🥺
なざーる	🧿
なし	🍐
なす	🍆
なっつ	🥜
なっと	🔩
なつ	🎐
なふだ	📛
なべ	🍲
なまがき	🦪
なまけもの	🦥
なまはげ	👹
なみ	🌊
なみだ	😿
なみのり	🏄‍♂
なみびあ	🇳🇦
なやむかお	😟
なやむ	😟
なると	🍥
なんきょくたいりく	🇦🇶
なんせい	↙
なんとう	↘
にうえ	🇳🇺
におい	🧄
にからぐあ	🇳🇮
にく	🥩
にくきゅう	🐾
にくだんご	🧆
にくまん	🥟
にこにこ	😊
にこにこぺろり	😋
にこみ	🍲
にし	⬅
にしさはら	🇪🇭
にじ	🌈
にじいろのはた	🏳‍🌈
にじぇーる	🇳🇪
にじゅうまる	🔘
にっこり	😀
にっこりきす	😙
にっこりわらう	😀
にっこりわらうねこ	😺
にっと	🧶
にっぽん	🗾
にふだ	🏷
にほんしゅ	🍶
にほんちず	🗾
にもつ	📦
にもの	🍲
にやっとわらう	😁
にやっとわらうねこ	😸
にやり	😼
にやりとするねこ	😼
にゅうしゅっこく	🛂
にゅうじょうけん	🎟
にゅうじょうぱす	🎟
にゅうせいひん	🧈
にゅうりょく	🔣
にゅー	🆕
にゅーかれどにあ	🇳🇨
にゅーじーらんど	🇳🇿
にゅーす	🗞
にゅーまーく	🆕
にゅーよーく	🗽
にわ	🏡
にわつきのいえ	🏡
にわとり	🐔
にんぎょ	🧜‍♂
にんぎょう	🎎
にんしん	🤰
にんじん	🥕
にんにく	🧄
にんぷ	🤰
ぬいぐるみ	🧸
ぬいはり	🧵
ねいる	💅
ねぎ	🧅
ねくたい	👔
ねこ	🙀
ねこのかお	🐱
ねこのきす	😽
ねじり	🥨
ねずみ	🐹
ねずみのかお	🐭
ねっくれす	📿
ねったい	🦩
ねったいぎょ	🐠
ねっちゅうしょう	🥵
ねっと	🥅
ねつ	🦟
ねつがあるかお	🤒
ねつがある	🤒
ねつをはかる	🤒
ねぱーる	🇳🇵
ねまちのつき	🌖
ねむい	🥱
ねむる	😴
ねりもの	🍥
ねる	🛏
ねんず	📿
ねんど	🧱
ねんぱい	🦳
のう	🧠
のうか	👩‍🌾
のうかのじょせい	👩‍🌾
のうかのだんせい	👨‍🌾
のうふ	👨‍🌾
のうみそ	🧠
ののしり	🤬
ののしる	🤬
のぶ	🎛
のみすい	🚰
のみもの	🧉
のみや	🏮
のめないみず	🚱
のりもの	🛸
のるうぇー	🇳🇴
のんびり	🦥
のーと	🗒
のーとぱそこん	💻
のーふぉーくとう	🇳🇫
はいおく	🏚
はいきんぐ	🥾
